"","heart_disease_mortality_per_100k","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","Area_Rucc","Econ_Economic_typology","Area_Urban_Influence"
"681",255,0.505,0.047,0.267,0.105,0.168,0.216,9,12,0.237,0.2,0.109,0.089,0.176,0.197,11,4.47,13.92,1629,1129,"A1","Nonsp","M1"
"682",239,0.463,0.062,0.254,0.101,0.226,0.166,11,10,0.269,0.287,0.128,0.08,0.175,0.242,12,2.3,22.42,3069,3179,"A2","Recr","M2"
"683",293,0.457,0.057,0.162,0.054,0.228,0.154,11,9,0.304,0.249,0.117,0.085,0.185,0.233,11,2.1,14.87,2390,2130,"C1","Recr","N7"
"684",274,0.476,0.082,0.191,0.081,0.252,0.145,13,10,0.328,0.317,0.11,0.068,0.263,0.322,14,NA,17.86,3319,2200,"C1","Manu","M3"
"685",274,0.454,0.095,0.292,0.073,0.294,0.11,16,7,0.284,0.142,0.085,0.075,0.174,0.183,10,7.6,14.68,1789,1560,"A2","Nonsp","M2"
"686",339,0.451,0.077,0.23,0.064,0.262,0.129,14,10,0.311,0.232,0.123,0.118,0.084,0.313,12,4.97,23.78,1789,1120,"D1","Manu","M5"
"687",237,0.467,0.032,0.169,0.108,0.35,0.074,21,4,0.236,0.059,0.051,0.066,0.044,0.137,12,0,7.46,1569,2269,"A2","Nonsp","M2"
"688",244,0.48,0.071,0.299,0.069,0.306,0.134,16,7,0.334,0.16,0.081,0.072,0.145,0.268,11,5.4,17.09,2179,2029,"D1","Farm","M5"
"689",209,0.534,0.037,0.19,0.116,0.242,0.103,13,6,0.205,0.143,0.06,0.096,0.179,0.164,13,4.13,7.65,1089,1269,"A1","Nonsp","M1"
"690",315,0.361,0.072,0.244,0.051,0.198,0.191,11,15,0.345,0.285,0.158,0.129,0.065,0.352,13,11.5,19.12,2580,1680,"C1","Nonsp","M4"
"691",243,0.447,0.038,0.416,0.199,0.252,0.154,11,7,0.297,NA,0.108,0.09,NA,0.263,11,NA,NA,NA,2380,"B2","Fed","M5"
"692",199,0.551,0.028,0.143,0.058,0.234,0.118,13,7,0.26,0.193,0.07,0.065,0.202,0.184,10,1.9,5.87,1099,1410,"A2","Fed","M2"
"693",257,0.509,0.066,0.264,0.108,0.235,0.104,13,7,0.222,0.136,0.091,0.102,0.178,0.177,13,11.4,10.07,1530,1010,"A1","Nonsp","M1"
"694",281,0.435,0.062,0.138,0.044,0.175,0.187,9,10,0.302,0.268,0.094,0.1,0.189,0.276,11,NA,14.07,3060,2870,"C2","Fed","N1"
"695",280,0.467,0.067,0.275,0.092,0.227,0.126,14,8,0.271,0.184,0.107,0.101,0.16,0.238,13,12.19,13.96,1749,1170,"A2","Nonsp","M2"
"696",324,0.477,0.048,0.278,0.142,0.279,0.125,14,8,0.333,0.237,0.102,0.088,NA,0.301,10,4,19.9,2780,3680,"A1","Nonsp","M1"
"697",238,0.467,0.07,0.288,0.121,0.23,0.16,12,9,0.224,0.166,0.071,0.06,0.185,0.198,11,1.78,25.2,1679,1399,"D1","Recr","M5"
"698",356,0.407,0.061,0.27,0.083,0.249,0.152,12,13,0.303,0.242,0.14,0.113,0.107,0.345,12,6.1,28.56,5419,2400,"D2","Fed","N3"
"699",293,0.452,0.052,0.405,0.193,0.278,0.145,12,6,0.298,NA,0.122,0.09,NA,0.283,9,NA,NA,NA,1520,"B2","Farm","N4"
"700",290,0.506,0.048,0.158,0.079,0.228,0.173,13,10,0.307,0.201,0.089,0.067,0.32,0.207,12,NA,16.85,1869,889,"C2","Nonsp","N1"
"701",215,0.49,0.045,0.212,0.081,0.236,0.17,12,9,0.247,0.197,0.086,0.047,0.168,0.175,11,0.8,10.7,1469,1430,"A3","Recr","M2"
"702",383,0.37,0.079,0.244,0.083,0.191,0.212,11,14,0.323,0.325,0.144,NA,0.138,0.363,13,NA,NA,NA,NA,"B1","Fed","N7"
"703",416,0.366,0.095,0.314,0.09,0.215,0.155,11,12,0.377,0.284,0.112,0.119,0.107,0.335,11,NA,37.37,2550,10289,"B2","Nonsp","N4"
"704",267,0.516,0.039,0.261,0.129,0.284,0.13,15,8,0.299,0.197,0.096,0.067,0.107,0.261,13,3.8,11.87,2989,2119,"A3","Manu","M2"
"705",372,0.399,0.058,0.278,0.092,0.236,0.158,13,12,0.323,0.229,0.128,0.093,0.106,0.359,11,7.57,26.66,2149,2660,"A2","Nonsp","M2"
"706",217,0.389,0.073,0.252,0.101,0.179,0.268,8,14,0.248,0.208,0.114,0.058,NA,0.297,13,NA,22.38,1780,2109,"B2","Recr","M5"
"707",275,0.416,0.064,0.303,0.15,0.262,0.184,13,12,0.317,0.221,0.121,0.082,NA,0.315,9,5.72,31.45,4909,3079,"C2","Farm","N7"
"708",455,0.414,0.071,0.299,0.117,0.215,0.187,11,13,0.337,0.369,0.156,0.077,NA,0.333,10,NA,35.53,2760,2760,"D2","Farm","N3"
"709",215,0.498,0.061,0.156,0.047,0.186,0.108,12,6,0.279,0.163,0.068,0.069,0.179,0.222,13,2.78,7.11,2030,1100,"A3","Fed","M2"
"710",332,0.401,0.085,0.247,0.064,0.234,0.148,11,9,0.322,0.295,0.113,0.086,0.093,0.336,13,4.96,24.56,2499,2280,"D1","Nonsp","M5"
"711",226,0.364,0.085,0.223,0.075,0.175,0.244,10,13,0.273,0.189,0.109,0.062,0.14,0.192,11,1.66,15.15,1179,1009,"D1","Nonsp","M5"
"712",328,0.38,0.108,0.258,0.074,0.228,0.165,12,9,0.361,0.339,0.134,0.096,0.124,0.367,13,NA,27.7,4650,4620,"B1","Farm","N2"
"713",304,0.447,0.071,0.205,0.066,0.219,0.215,11,14,0.326,0.203,0.14,0.111,0.109,0.316,12,5.68,30.67,2809,1889,"C2","Nonsp","N1"
"714",312,0.424,0.067,0.246,0.071,0.229,0.171,12,13,0.31,0.222,0.119,0.094,NA,0.377,13,2.27,16.98,1759,1459,"A3","Manu","M2"
"715",387,0.476,0.08,0.187,0.048,0.218,0.117,14,10,0.342,0.23,0.114,0.126,0.173,0.303,12,36.73,9.13,1900,939,"A1","Fed","M1"
"716",309,0.419,0.061,0.225,0.082,0.185,0.239,7,13,0.295,0.193,0.118,0.084,0.118,0.253,13,NA,22.83,6120,4609,"B1","Manu","N2"
"717",379,0.417,0.085,0.264,0.086,0.262,0.137,12,10,0.355,0.233,0.151,0.101,0.13,0.334,12,4.66,36,4250,4099,"A1","Nonsp","M1"
"718",313,0.37,0.133,0.307,0.11,0.223,0.158,9,10,0.368,0.267,0.148,0.151,NA,0.334,13,NA,16.66,5609,NA,"B2","Nonsp","M5"
"719",300,0.487,0.033,0.255,0.123,0.291,0.146,17,10,0.321,0.233,0.122,0.075,0.164,0.322,14,NA,18.7,4050,2289,"D2","Nonsp","M5"
"720",316,0.466,0.062,0.208,0.08,0.217,0.167,9,10,0.339,0.29,0.13,0.1,NA,0.272,13,5.5,19.72,6740,2040,"A3","Fed","M2"
"721",209,0.521,0.051,0.226,0.077,0.234,0.108,15,6,0.296,0.14,0.095,0.091,0.145,0.194,12,10.29,11.51,1459,800,"A2","Manu","M2"
"722",240,0.388,0.167,0.383,0.144,0.359,0.063,23,5,0.298,0.48,0.076,0.07,0.208,0.303,NA,NA,NA,2720,3860,"D2","Mining","N5"
"723",223,0.464,0.067,0.138,0.052,0.198,0.182,9,9,0.301,0.25,0.085,0.074,0.109,0.25,11,NA,9.61,3709,4069,"A2","Recr","M2"
"724",283,0.421,0.052,0.337,0.12,0.233,0.134,12,8,0.413,0.263,0.122,0.119,0.196,0.26,13,15.5,43.01,3900,4189,"A3","Nonsp","M2"
"725",260,0.558,0.027,0.182,0.086,0.253,0.192,11,11,0.304,0.194,0.104,0.078,0.146,0.275,14,NA,30.22,4900,2440,"B2","Farm","N4"
"726",222,0.505,0.051,0.138,0.073,0.209,0.215,12,13,0.322,0.174,0.1,0.086,0.232,0.346,11,NA,21.37,2470,3669,"B2","Farm","M5"
"727",253,0.512,0.041,0.217,0.106,0.249,0.139,14,9,0.314,0.219,0.105,0.068,0.123,0.227,13,NA,13.08,3380,2279,"C1","Manu","M4"
"728",163,0.556,0.028,0.092,0.048,0.249,0.132,15,6,0.225,0.114,0.072,0.062,0.143,0.193,12,1.7,7.51,1239,420,"A3","Nonsp","M2"
"729",353,0.447,0.068,0.261,0.068,0.198,0.182,11,15,0.347,0.309,0.145,0.069,NA,0.331,13,NA,24.62,10070,3410,"B1","Manu","N2"
"730",372,0.351,0.066,0.3,0.148,0.234,0.163,12,10,0.341,0.235,0.127,0.089,NA,0.283,10,NA,40.5,4910,14199,"B2","Farm","N3"
"731",267,0.43,0.088,0.247,0.113,0.179,0.267,8,12,0.332,0.243,0.12,0.068,0.164,0.294,10,NA,20.55,7820,3150,"C2","Recr","M4"
"732",306,0.554,0.026,0.206,0.116,0.245,0.237,13,12,0.282,0.138,0.103,0.055,0.208,0.326,12,NA,33.45,1419,1709,"B2","Farm","N4"
"733",252,0.515,0.06,0.137,0.031,0.219,0.174,11,11,0.297,0.243,0.102,0.067,0.176,0.254,12,NA,14.17,2770,2949,"A2","Nonsp","M2"
"734",258,0.523,0.035,0.295,0.197,0.199,0.209,9,10,0.302,NA,0.113,0.072,NA,0.231,9,NA,30.71,2679,2129,"B1","Recr","N7"
"735",238,0.576,0.028,0.212,0.085,0.19,0.166,9,7,0.276,0.167,0.083,0.07,0.209,0.281,13,NA,15.6,1289,1520,"D2","Fed","N5"
"736",220,0.529,0.046,0.127,0.05,0.225,0.145,10,7,0.295,0.156,0.08,0.073,0.231,0.167,12,NA,12.22,1830,2410,"C1","Manu","M3"
"737",249,0.486,0.046,0.342,0.148,0.273,0.1,16,6,0.286,0.147,0.081,0.087,0.16,0.213,9,9.2,10.22,1609,1730,"A1","Mining","M1"
"738",313,0.51,0.048,0.176,0.09,0.247,0.139,11,10,0.335,0.244,0.113,0.085,0.184,0.297,14,NA,11.66,2400,2159,"A1","Nonsp","M1"
"739",323,0.467,0.043,0.217,0.054,0.244,0.155,11,11,0.353,0.392,0.111,0.099,0.187,0.318,12,NA,25.57,3599,5989,"A2","Nonsp","M2"
"740",273,0.394,0.076,0.216,0.083,0.159,0.311,7,16,0.295,0.213,0.114,0.049,0.17,0.223,8,NA,19.14,1859,1300,"D2","Recr","M5"
"741",335,0.427,0.078,0.264,0.082,0.249,0.146,13,12,0.35,0.19,0.133,0.138,NA,0.274,13,7.6,16.65,3539,2060,"A1","Nonsp","M1"
"742",337,0.489,0.041,0.211,0.091,0.23,0.175,12,10,0.382,0.284,0.119,0.078,0.168,0.281,10,NA,14.18,3320,1660,"C2","Nonsp","M3"
"743",363,0.371,0.09,0.269,0.084,0.246,0.154,12,12,0.306,0.259,0.12,0.096,0.082,0.332,12,10.46,19.62,3670,2330,"D1","Nonsp","M5"
"744",244,0.49,0.034,0.201,0.101,0.286,0.105,16,7,0.274,0.125,0.084,0.078,0.099,0.174,12,1.9,10.54,1270,2230,"A2","Fed","M2"
"745",330,0.416,0.079,0.18,0.075,0.237,0.148,12,12,0.308,0.217,0.102,0.105,NA,0.304,13,NA,22.31,6650,13360,"B1","Nonsp","N7"
"746",354,0.463,0.049,0.245,0.066,0.212,0.193,9,11,0.323,0.311,0.124,0.078,NA,0.354,13,NA,24.49,10340,3430,"B1","Manu","N2"
"747",256,0.498,0.035,0.365,0.163,0.315,0.093,19,6,0.298,NA,0.101,0.07,NA,0.269,10,NA,23.38,3690,3180,"D2","Manu","M5"
"748",259,0.493,0.069,0.185,0.056,0.208,0.207,9,12,0.32,0.289,0.124,0.061,0.204,0.301,11,NA,14.79,1609,2990,"D2","Manu","M5"
"749",318,0.44,0.095,0.263,0.09,0.191,0.247,9,10,0.317,NA,0.135,0.072,NA,0.367,14,NA,NA,NA,5119,"B2","Recr","N4"
"750",274,0.453,0.114,0.304,0.083,0.289,0.106,17,7,0.293,0.143,0.093,0.068,0.183,0.197,10,7.18,15.64,1880,1590,"A2","Nonsp","M2"
"751",253,0.514,0.049,0.117,0.036,0.215,0.142,9,7,0.296,0.097,0.082,0.083,0.23,0.228,11,0.3,8.61,1839,1809,"A1","Nonsp","M1"
"752",278,0.454,0.055,0.176,0.054,0.241,0.16,12,11,0.319,0.224,0.124,0.091,0.166,0.329,14,3.3,13.29,1699,1559,"C1","Nonsp","M3"
"753",211,0.521,0.044,0.097,0.056,0.231,0.16,11,8,0.292,NA,0.09,0.053,0.26,0.26,12,NA,14.14,2119,2739,"C2","Manu","N7"
"754",232,0.55,0.042,0.204,0.096,0.267,0.128,15,7,0.269,0.215,0.069,0.092,0.259,0.246,13,NA,15.98,2180,2199,"D2","Mining","M5"
"755",304,0.514,0.041,0.189,0.097,0.226,0.227,11,14,0.302,0.122,0.116,0.055,0.195,0.321,10,NA,20.93,7619,NA,"B2","Farm","N4"
"756",360,0.515,0.068,0.149,0.034,0.221,0.191,10,14,0.321,NA,0.117,0.08,NA,0.264,14,NA,12.88,3690,3059,"C2","Manu","N1"
"757",234,0.587,0.034,0.116,0.034,0.232,0.217,10,13,0.311,0.201,0.104,0.056,0.252,0.294,10,NA,21.85,2039,1710,"C2","Nonsp","N1"
"758",323,0.399,0.112,0.204,0.07,0.193,0.183,9,13,0.329,0.244,0.122,0.055,0.226,0.215,10,NA,NA,1930,970,"B2","Fed","N4"
"759",267,0.475,0.049,0.222,0.092,0.251,0.15,10,8,0.317,0.235,0.139,0.103,NA,0.297,13,NA,23.59,9619,5699,"A3","Nonsp","M2"
"760",265,0.616,0.045,0.205,0.104,0.194,0.22,10,12,0.303,NA,0.115,0.08,NA,0.269,8,NA,31.17,4559,2319,"B1","Farm","N2"
"761",398,0.38,0.06,0.261,0.124,0.212,0.168,12,14,0.337,0.281,0.133,0.099,0.148,0.316,10,6.92,32.96,2489,1469,"D1","Fed","M5"
"762",317,0.498,0.034,0.258,0.087,0.249,0.132,15,9,0.3,0.228,0.109,0.098,0.139,0.28,10,8,12.4,1520,899,"A2","Mining","M2"
"763",263,0.466,0.067,0.296,0.119,0.25,0.17,10,11,0.263,NA,0.084,0.088,NA,0.263,10,NA,NA,689,NA,"B2","Fed","N3"
"764",194,0.564,0.045,0.076,0.02,0.225,0.158,9,8,0.267,0.162,0.079,0.073,0.244,0.166,12,0,6.3,1180,709,"A1","Nonsp","M1"
"765",282,0.432,0.05,0.129,0.04,0.178,0.192,8,12,0.308,0.26,0.088,0.092,0.197,0.271,11,NA,14.79,2849,2859,"C2","Fed","N1"
"766",300,0.406,0.087,0.198,0.053,0.186,0.182,9,11,0.343,0.302,0.151,0.12,NA,0.308,13,NA,33.6,NA,NA,"B1","Manu","M3"
"767",215,0.545,0.033,0.197,0.09,0.225,0.176,10,10,0.291,0.209,0.088,0.087,0.178,0.264,11,NA,23.22,3570,1770,"D2","Mining","N3"
"768",222,0.476,0.055,0.111,0.049,0.267,0.116,12,7,0.286,NA,0.116,0.082,NA,0.24,13,NA,16.94,2480,6040,"C2","Fed","N7"
"769",331,0.357,0.108,0.314,0.114,0.204,0.213,9,14,0.348,NA,0.152,0.161,NA,0.325,13,NA,NA,NA,NA,"B1","Nonsp","N2"
"770",267,0.473,0.073,0.229,0.066,0.242,0.183,12,10,0.343,0.217,0.125,0.085,0.199,0.222,12,NA,16.55,3740,2020,"C2","Recr","N2"
"771",306,0.322,0.118,0.206,0.066,0.164,0.264,8,15,0.312,0.335,0.141,0.094,NA,0.23,12,NA,23.48,1700,5759,"B2","Recr","N4"
"772",209,0.457,0.079,0.268,0.115,0.274,0.08,14,5,0.303,0.268,0.065,0.058,0.185,0.243,NA,3.95,14.69,2320,1909,"A2","Recr","M2"
"773",292,0.498,0.086,0.166,0.03,0.245,0.138,12,10,0.33,0.271,0.106,0.08,0.143,0.289,13,3.61,13.45,2559,2029,"A3","Nonsp","M2"
"774",231,0.468,0.069,0.162,0.037,0.218,0.193,10,11,0.267,0.287,0.116,0.083,0.227,0.286,12,2.58,13.71,1990,1980,"C1","Manu","M4"
"775",262,0.442,0.08,0.201,0.067,0.197,0.156,10,10,0.385,0.226,0.116,0.058,0.298,0.252,10,NA,10.99,1540,1619,"D2","Fed","M5"
"776",243,0.527,0.053,0.197,0.093,0.238,0.128,15,9,0.271,0.262,0.09,0.072,0.172,0.24,11,4.2,19.67,1369,1420,"A3","Mining","M2"
"777",356,0.408,0.062,0.282,0.099,0.244,0.174,11,11,0.329,0.152,0.133,0.095,NA,0.368,12,NA,33,5479,5479,"B1","Manu","N2"
"778",431,0.377,0.086,0.23,0.083,0.217,0.187,10,15,0.335,0.408,0.119,0.082,NA,0.284,11,NA,29.9,10340,10369,"D2","Mining","N4"
"779",351,0.36,0.125,0.337,0.108,0.263,0.15,15,10,0.435,0.131,0.174,0.132,NA,0.337,13,16.91,37.65,5690,5669,"D2","Nonsp","N3"
"780",331,0.448,0.057,0.168,0.027,0.238,0.174,12,12,0.339,0.254,0.118,0.09,0.164,0.27,14,5.8,12.45,3340,2010,"A3","Nonsp","M2"
"781",359,0.433,0.059,0.224,0.043,0.223,0.176,12,12,0.317,0.274,0.15,0.098,0.087,0.328,13,2.29,9.21,1940,1279,"A3","Nonsp","M2"
"782",299,0.394,0.074,0.234,0.054,0.203,0.186,11,12,0.306,0.229,0.122,0.08,0.121,0.322,13,NA,28.9,1980,4619,"C2","Manu","N1"
"783",301,0.475,0.068,0.207,0.084,0.258,0.136,12,10,0.284,0.321,0.107,0.087,0.127,0.295,14,NA,28.66,7110,2009,"C2","Manu","M4"
"784",258,0.621,0.03,0.346,0.176,0.239,0.224,14,8,0.317,NA,0.133,0.089,NA,0.348,12,NA,NA,2330,2380,"B2","Farm","N4"
"785",194,0.593,0.027,0.143,0.052,0.262,0.156,12,6,0.305,0.227,0.085,0.038,0.253,0.307,11,NA,NA,NA,NA,"B2","Manu","M5"
"786",306,0.404,0.067,0.244,0.089,0.196,0.174,10,11,0.367,0.297,0.147,0.101,0.139,0.326,12,8,21.87,2070,2060,"C2","Manu","N1"
"787",276,0.465,0.06,0.208,0.06,0.248,0.162,12,10,0.325,0.198,0.13,0.074,0.203,0.262,13,2.7,15.9,2789,1750,"A2","Nonsp","M2"
"788",335,0.382,0.074,0.195,0.053,0.207,0.217,11,13,0.314,0.27,0.113,0.076,0.138,0.301,12,NA,19.76,3819,3069,"C2","Recr","N1"
"789",220,0.528,0.056,0.126,0.055,0.194,0.189,8,9,0.212,0.13,0.077,0.071,0.215,0.182,10,NA,6.71,1109,1149,"A1","Fed","M1"
"790",319,0.408,0.079,0.228,0.063,0.233,0.167,12,12,0.371,0.204,0.121,0.097,NA,0.33,13,5.57,25.99,3679,2459,"C2","Fed","M4"
"791",353,0.405,0.058,0.273,0.064,0.242,0.145,11,11,0.315,0.18,0.135,0.096,0.095,0.29,13,3.3,19.5,4169,2450,"C2","Manu","N1"
"792",369,0.398,0.079,0.2,0.052,0.22,0.185,9,12,0.286,NA,0.143,0.083,NA,0.353,15,NA,30.48,3340,13290,"B1","Fed","N2"
"793",307,0.423,0.095,0.167,0.045,0.217,0.19,11,14,0.313,NA,0.111,0.084,NA,0.305,13,NA,17.47,2599,1359,"C2","Fed","N1"
"794",221,0.53,0.053,0.113,0.059,0.212,0.231,10,13,0.282,0.177,0.1,0.058,NA,0.258,12,NA,15.52,2830,2850,"C2","Farm","N1"
"795",305,0.44,0.06,0.207,0.08,0.217,0.156,10,10,0.338,0.307,0.109,0.091,0.195,0.282,13,NA,18.1,5159,5210,"C2","Fed","M4"
"796",349,0.357,0.057,0.275,0.114,0.222,0.128,13,10,0.317,NA,0.116,0.107,NA,0.285,10,4.6,20.08,3279,2720,"C1","Mining","M4"
"797",265,0.53,0.014,0.157,0.071,0.188,0.194,9,10,0.356,0.209,0.105,0.095,NA,0.269,13,NA,NA,1869,1869,"D2","Nonsp","N5"
"798",262,0.546,0.03,0.264,0.166,0.251,0.164,12,4,0.314,NA,0.101,NA,NA,0.266,10,NA,NA,NA,NA,"B1","Mining","N2"
"799",255,0.516,0.043,0.141,0.044,0.226,0.17,11,9,0.361,0.214,0.107,0.075,0.177,0.216,13,NA,16.07,3689,2799,"A2","Manu","M2"
"800",327,0.385,0.088,0.324,0.109,0.243,0.155,13,10,0.302,0.294,0.117,0.106,0.13,0.31,12,NA,27.2,6449,4840,"C2","Nonsp","N1"
"801",347,0.551,0.061,0.203,0.099,0.231,0.208,10,12,0.318,0.203,0.119,0.087,NA,0.281,9,NA,24.85,2280,3019,"C2","Farm","N7"
"802",210,0.555,0.054,0.236,0.068,0.243,0.093,14,6,0.239,0.144,0.08,0.087,0.159,0.199,13,7.3,7.89,1540,1160,"A1","Nonsp","M1"
"803",288,0.372,0.065,0.157,0.038,0.199,0.165,12,13,0.329,NA,0.114,0.084,NA,0.282,14,NA,17.71,8270,4150,"D2","Mining","N3"
"804",222,0.478,0.057,0.242,0.075,0.239,0.143,12,9,0.257,0.198,0.095,0.092,0.13,0.214,13,5.8,11.49,1649,939,"A2","Nonsp","M2"
"805",278,0.449,0.071,0.197,0.071,0.226,0.15,11,11,0.368,0.277,0.128,0.092,0.159,0.344,14,2.92,12.92,2160,1869,"A1","Nonsp","M1"
"806",423,0.384,0.105,0.269,0.075,0.266,0.14,16,12,0.362,0.241,0.133,0.121,0.119,0.388,12,8.63,50.97,3470,3139,"C2","Nonsp","N7"
"807",370,0.419,0.069,0.261,0.095,0.25,0.18,13,12,0.351,0.24,0.132,0.087,NA,0.313,10,NA,30.46,2350,3110,"C2","Farm","N1"
"808",288,0.482,0.054,0.18,0.066,0.229,0.177,12,11,0.353,0.223,0.091,0.081,0.132,0.316,14,NA,11.74,2980,2190,"C1","Manu","M4"
"809",226,0.478,0.055,0.182,0.072,0.147,0.093,9,6,0.275,0.111,0.084,0.064,0.162,0.215,11,NA,8.56,3809,1359,"C1","Fed","M4"
"810",254,0.502,0.049,0.143,0.056,0.258,0.136,11,8,0.3,0.196,0.106,0.074,0.159,0.26,13,2.01,10.96,2420,1610,"A1","Nonsp","M1"
"811",258,0.434,0.05,0.343,0.172,0.239,0.126,15,7,0.296,NA,0.101,0.082,NA,0.288,11,NA,25.87,4410,3140,"D2","Mining","N5"
"812",242,0.431,0.103,0.241,0.096,0.207,0.222,9,11,0.271,0.208,0.103,0.053,NA,0.198,8,NA,13.39,2620,2969,"C2","Nonsp","M4"
"813",306,0.441,0.167,0.329,0.092,0.253,0.204,17,12,0.247,0.191,0.1,0.078,0.163,0.239,10,7.7,19.39,3079,2080,"C2","Fed","M4"
"814",235,0.406,0.064,0.286,0.118,0.176,0.244,9,13,0.273,0.272,0.14,0.097,NA,0.255,14,NA,20.13,3390,1459,"B1","Recr","N7"
"815",196,0.541,0.039,0.074,0.026,0.166,0.106,12,6,0.209,0.147,0.073,0.082,0.185,0.208,10,7,4.12,570,680,"A1","Nonsp","M1"
"816",250,0.509,0.039,0.149,0.053,0.25,0.14,11,8,0.287,0.241,0.109,0.066,0.153,0.265,13,-0.1,9.97,2559,1390,"A1","Nonsp","M1"
"817",303,0.524,0.054,0.216,0.048,0.221,0.121,14,9,0.324,0.165,0.117,0.12,0.152,0.24,11,16.1,14.85,1450,1139,"A2","Fed","M2"
"818",286,0.51,0.054,0.231,0.122,0.222,0.232,12,12,0.296,0.197,0.097,0.074,NA,0.32,9,NA,NA,2490,NA,"B2","Farm","N4"
"819",363,0.437,0.04,0.249,0.106,0.245,0.169,12,13,0.349,0.306,0.125,0.079,0.153,0.349,10,3.9,24.72,3200,3530,"A2","Nonsp","M2"
"820",322,0.45,0.059,0.161,0.063,0.193,0.185,10,12,0.327,0.225,0.148,0.084,0.228,0.333,14,1.7,11.4,2670,2169,"A3","Mining","M2"
"821",253,0.575,0.031,0.186,0.089,0.185,0.24,8,18,0.287,0.279,0.11,NA,0.145,0.263,12,NA,42.99,3279,3229,"B2","Farm","N4"
"822",323,0.391,0.083,0.2,0.063,0.196,0.193,9,11,0.325,0.241,0.12,0.062,0.215,0.221,10,NA,NA,1730,960,"B2","Fed","N4"
"823",392,0.36,0.074,0.258,0.113,0.238,0.15,14,11,0.38,0.286,0.169,0.128,0.113,0.349,12,12.04,52.54,6270,2109,"B1","Manu","N2"
"824",409,0.465,0.043,0.245,0.12,0.227,0.175,12,13,0.336,0.304,0.124,0.088,NA,0.375,10,NA,35.47,NA,6170,"A3","Farm","M2"
"825",226,0.517,0.045,0.225,0.105,0.237,0.19,13,11,0.245,0.141,0.096,0.053,0.1,0.241,10,NA,24.74,1409,2819,"D2","Nonsp","N5"
"826",387,0.479,0.058,0.249,0.047,0.24,0.141,14,10,0.351,0.224,0.128,0.109,0.155,0.309,10,7.81,23.23,1979,1560,"A3","Nonsp","M2"
"827",303,0.436,0.07,0.163,0.078,0.19,0.19,8,11,0.292,0.192,0.108,0.078,0.172,0.258,12,2.32,21.31,2139,2030,"C2","Fed","N7"
"828",320,0.482,0.047,0.233,0.08,0.198,0.167,10,11,0.314,0.196,0.117,0.079,NA,0.279,13,NA,14.51,4120,3289,"A2","Nonsp","M2"
"829",238,0.459,0.057,0.186,0.113,0.202,0.271,10,16,0.322,0.115,0.109,NA,0.188,0.322,10,NA,NA,3540,1769,"B1","Farm","N2"
"830",266,0.548,0.026,0.179,0.1,0.197,0.272,10,16,0.285,0.172,0.103,0.058,0.195,0.308,11,NA,NA,4820,1209,"B2","Farm","M5"
"831",280,0.54,0.033,0.243,0.136,0.206,0.256,10,13,0.21,NA,0.069,0.122,NA,0.24,13,NA,55.1,1909,1259,"B2","Farm","M5"
"832",224,0.526,0.076,0.145,0.05,0.198,0.195,7,9,0.279,NA,0.099,0.071,NA,0.279,12,NA,23.87,2939,5960,"B1","Manu","M4"
"833",421,0.49,0.031,0.254,0.143,0.252,0.203,14,14,0.28,0.198,0.136,0.058,NA,0.335,10,NA,60.8,4870,4859,"B2","Mining","N4"
"834",204,0.527,0.047,0.177,0.065,0.242,0.145,11,8,0.304,0.203,0.092,0.065,0.139,0.249,13,3.7,13.29,7390,2290,"A3","Nonsp","M2"
"835",285,0.538,0.044,0.165,0.086,0.218,0.187,9,11,0.335,0.254,0.127,0.079,NA,0.302,14,NA,15.15,1950,2609,"C2","Nonsp","N7"
"836",277,0.472,0.054,0.239,0.09,0.219,0.176,9,12,0.305,0.262,0.099,0.1,NA,0.28,13,NA,18.09,5430,3459,"A2","Nonsp","M2"
"837",184,0.396,0.066,0.153,0.074,0.189,0.206,11,9,0.269,0.151,0.099,0.042,0.161,0.17,11,NA,9.03,1520,2319,"C1","Recr","M3"
"838",278,0.492,0.039,0.212,0.103,0.234,0.222,14,14,0.326,0.238,0.105,0.063,0.107,0.307,10,NA,35.65,1459,2950,"B1","Mining","N2"
"839",259,0.452,0.068,0.328,0.075,0.346,0.106,20,6,0.362,0.107,0.105,0.073,0.111,0.256,11,NA,9.99,1270,1579,"C2","Farm","M4"
"840",354,0.386,0.109,0.258,0.095,0.25,0.141,14,17,0.406,NA,0.154,0.15,NA,0.362,12,NA,28.35,NA,2440,"B1","Farm","N2"
"841",310,0.44,0.081,0.24,0.073,0.22,0.164,14,11,0.309,0.232,0.132,0.071,0.124,0.278,13,5.53,21.56,3669,1229,"D2","Nonsp","M5"
"842",293,0.35,0.072,0.26,0.107,0.191,0.204,11,15,0.361,0.307,0.139,0.082,0.065,0.334,12,NA,39.54,4389,5489,"C2","Fed","N2"
